Experiment,Loss_Type,Epoch,Layer,PD_vs_FN_MSE,PD_vs_FN_MAE,PD_vs_FN_Wasserstein,PD_vs_FN_Cosine_Sim
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,Layer_3,0.06025673394107786,0.19947560106992168,0.1392702765995877,0.2811709854120149
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,Layer_4,0.020567004475259734,0.1149371247711004,0.03694497980616228,-0.04219882199003423
sinkhorn 2025-10-22 10:25:31.722454 800_epoch499,sinkhorn 2025-10-22 10:25:31.722454 800,499,Layer_5,0.021500045021931022,0.11936981262238647,0.041055104149367715,0.13579267024255012
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,Layer_1,0.08856367318889143,0.23373430285293226,0.15946008676815715,-0.18427502356628092
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,Layer_2,0.06246513630926441,0.19570599397337413,0.13660304006588428,-0.14624561421501056
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,Layer_3,0.06168537239053073,0.2028554777668068,0.14463761275271222,0.3099437741823233
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,Layer_4,0.020135631798285723,0.11460206044239656,0.03619759296626935,-0.049565874851859336
sinkhorn 2025-10-22 10:25:31.722454 800_epoch549,sinkhorn 2025-10-22 10:25:31.722454 800,549,Layer_5,0.02126842785550112,0.11764187792626947,0.03876911273494082,0.10999300607393024
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,Layer_1,0.08975240095951793,0.2372088078517116,0.16205478973174162,-0.21306840214771236
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,Layer_2,0.06259827113613116,0.19522587260124305,0.13885761019746548,-0.1364428927739082
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,Layer_3,0.059432690248917786,0.19551885835731253,0.1413655091937495,0.3530872678721658
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,Layer_4,0.019427567595141648,0.11142155558200671,0.03672298624323372,-0.039822169695450244
sinkhorn 2025-10-22 10:25:31.722454 800_epoch599,sinkhorn 2025-10-22 10:25:31.722454 800,599,Layer_5,0.01969866961299516,0.11401082283537439,0.037929210682597136,0.16240728008957556
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,Layer_1,0.07319329854185411,0.2196865421145604,0.15858818747258144,-0.08240791302490809
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,Layer_2,0.05228210275258269,0.1801267556954444,0.12561733862936655,-0.09942663553782921
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,Layer_3,0.06451277823453697,0.20441969071564398,0.14863126723342562,0.2595902486376688
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,Layer_4,0.017507655749027632,0.10500980367836883,0.03406173208196613,-0.0010819852113897197
sinkhorn 2025-10-22 10:25:31.722454 800_epoch649,sinkhorn 2025-10-22 10:25:31.722454 800,649,Layer_5,0.01864254686876781,0.10925311691796866,0.037889437188493115,0.17134975435515984
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,Layer_1,0.07645803801329776,0.22094575736460104,0.15990265534663584,-0.07718661590223748
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,Layer_2,0.05421887359923216,0.18032482810623895,0.12955342270673276,-0.10112659544516728
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,Layer_3,0.06296561835518295,0.2059386037738764,0.15288660764539672,0.34445500481564517
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,Layer_4,0.01835670420120311,0.10745865698078434,0.039840776604545644,0.0020490817498449365
sinkhorn 2025-10-22 10:25:31.722454 800_epoch699,sinkhorn 2025-10-22 10:25:31.722454 800,699,Layer_5,0.020483470738752833,0.11318884866941907,0.0456840789713934,0.18240686270995052
sinkhorn 2025-10-22 10:25:31.722454 800_epoch749,sinkhorn 2025-10-22 10:25:31.722454 800,749,Layer_1,0.07794916560722835,0.2161451739114042,0.15957236439958702,-0.0948496178609928
sinkhorn 2025-10-22 10:25:31.722454 800_epoch749,sinkhorn 2025-10-22 10:25:31.722454 800,749,Layer_2,0.0518287770987086,0.17557842145158067,0.12843546358350624,-0.0676940080337416
sinkhorn 2025-10-22 10:25:31.722454 800_epoch749,sinkhorn 2025-10-22 10:25:31.722454 800,749,Layer_3,0.05996128082962429,0.1952846232260892,0.14867832923365817,0.4077638455559717
sinkhorn 2025-10-22 10:25:31.722454 800_epoch749,sinkhorn 2025-10-22 10:25:31.722454 800,749,Layer_4,0.016598172929659524,0.10126588558203792,0.04112266993107563,0.03812078255931799
